index,artist,song,id,uri,href,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,hot
32,Peso Pluma X Natanael Cano,PRC,2mpoNBkngUEwnaKoBhZ0vl,spotify:track:2mpoNBkngUEwnaKoBhZ0vl,https://open.spotify.com/track/2mpoNBkngUEwnaKoBhZ0vl,0.0965,0.784,0.826,7.09e-05,0.123,-6.34,0.0538,138.078,0.893,1
33,NLE Choppa,Slut Me Out,5BmB3OaQyYXCqRyN8iR2Yi,spotify:track:5BmB3OaQyYXCqRyN8iR2Yi,https://open.spotify.com/track/5BmB3OaQyYXCqRyN8iR2Yi,0.117,0.938,0.606,0.0,0.528,-6.396,0.419,121.108,0.706,1
34,Taylor Swift,Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC,0.258,0.733,0.436,0.000573,0.157,-10.489,0.08,96.985,0.0976,1
35,Parker McCollum,Handle On You,6Qpfsw8OS5HW5XxgmXYLWS,spotify:track:6Qpfsw8OS5HW5XxgmXYLWS,https://open.spotify.com/track/6Qpfsw8OS5HW5XxgmXYLWS,0.00411,0.588,0.931,0.0,0.345,-3.925,0.0318,105.027,0.625,1
36,Sam Smith & Kim Petras,Unholy,2baLFVb7XffCYXan3OMEAH,spotify:track:2baLFVb7XffCYXan3OMEAH,https://open.spotify.com/track/2baLFVb7XffCYXan3OMEAH,0.152,0.465,0.879,0.0,0.486,-10.397,0.123,137.871,0.587,1
37,SZA,Snooze,4iZ4pt7kvcaH6Yo8UoZ4s2,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://open.spotify.com/track/4iZ4pt7kvcaH6Yo8UoZ4s2,0.141,0.559,0.551,0.0,0.11,-7.231,0.132,143.008,0.392,1
38,Lil Uzi Vert,Just Wanna Rock,4FyesJzVpA39hbYvcseO2d,spotify:track:4FyesJzVpA39hbYvcseO2d,https://open.spotify.com/track/4FyesJzVpA39hbYvcseO2d,0.0652,0.486,0.545,0.00474,0.0642,-7.924,0.0336,150.187,0.0385,1
39,"Gabito Ballesteros, Peso Pluma & Natanael Cano",AMG,1lRtH4FszTrwwlK5gTSbXO,spotify:track:1lRtH4FszTrwwlK5gTSbXO,https://open.spotify.com/track/1lRtH4FszTrwwlK5gTSbXO,0.152,0.772,0.73,0.000107,0.274,-6.657,0.0972,136.175,0.786,1
40,Fifty Fifty,Cupid,7FbrGaHYVDmfr7KoLIZnQ7,spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,https://open.spotify.com/track/7FbrGaHYVDmfr7KoLIZnQ7,0.435,0.783,0.592,4.15e-06,0.347,-8.332,0.0331,120.018,0.726,1
41,"Metro Boomin, Future & Chris Brown",Superhero (Heroes & Villains),0vjeOZ3Ft5jvAi9SBFJm1j,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,https://open.spotify.com/track/0vjeOZ3Ft5jvAi9SBFJm1j,0.152,0.526,0.606,2.36e-06,0.194,-5.3,0.259,116.622,0.492,1
42,Karol G x Shakira,TQG,0DWdj2oZMBFSzRsi2Cvfzf,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf,0.673,0.72,0.63,0.0,0.0936,-3.547,0.277,179.974,0.607,1
43,HARDY Featuring Lainey Wilson,Wait In The Truck,7trjNYF5ek7zX4GKSHQZbP,spotify:track:7trjNYF5ek7zX4GKSHQZbP,https://open.spotify.com/track/7trjNYF5ek7zX4GKSHQZbP,0.277,0.534,0.466,0.0,0.0979,-6.98,0.0272,140.0,0.23,1
44,Ed Sheeran,Eyes Closed,07bsRv0pcpbG4zJeLsUs1p,spotify:track:07bsRv0pcpbG4zJeLsUs1p,https://open.spotify.com/track/07bsRv0pcpbG4zJeLsUs1p,0.302,0.777,0.526,0.0,0.105,-6.221,0.0645,107.071,0.389,1
45,Drake & 21 Savage,Spin Bout U,23GYZNGXrnBZPITKBAoZRb,spotify:track:23GYZNGXrnBZPITKBAoZRb,https://open.spotify.com/track/23GYZNGXrnBZPITKBAoZRb,0.0164,0.811,0.383,0.944,0.16,-11.789,0.0567,130.65,0.231,1
46,David Kushner,Daylight,1odExI7RdWc4BT515LTAwj,spotify:track:1odExI7RdWc4BT515LTAwj,https://open.spotify.com/track/1odExI7RdWc4BT515LTAwj,0.83,0.508,0.43,0.000441,0.093,-9.475,0.0335,130.09,0.324,1
47,Drake & 21 Savage,Rich Flex,0iXnfZ1nSGjFHPNOGrBwMR,spotify:track:0iXnfZ1nSGjFHPNOGrBwMR,https://open.spotify.com/track/0iXnfZ1nSGjFHPNOGrBwMR,0.763,0.758,0.429,8.35e-05,0.144,-12.418,0.36,147.873,0.578,1
48,Luke Combs,Love You Anyway,3qXsX3mYSsD1DmAvc3PE3N,spotify:track:3qXsX3mYSsD1DmAvc3PE3N,https://open.spotify.com/track/3qXsX3mYSsD1DmAvc3PE3N,0.149,0.532,0.489,0.0,0.237,-7.419,0.0311,139.807,0.32,1
49,Fuerza Regida X Grupo Frontera,Bebe Dame,0mzsLrUNazBaRfYZfjmpSV,spotify:track:0mzsLrUNazBaRfYZfjmpSV,https://open.spotify.com/track/0mzsLrUNazBaRfYZfjmpSV,0.299,0.529,0.602,0.0,0.0716,-4.629,0.0458,157.643,0.756,1
50,Corey Kent,Wild As Her,4RG7P0CXQ4pe0OeCAHjX5L,spotify:track:4RG7P0CXQ4pe0OeCAHjX5L,https://open.spotify.com/track/4RG7P0CXQ4pe0OeCAHjX5L,0.00216,0.504,0.736,0.0,0.129,-6.079,0.0352,148.014,0.46,1
51,"Tyler, The Creator Featuring Kali Uchis",See You Again,7KA4W4McWYRpgf0fWsJZWB,spotify:track:7KA4W4McWYRpgf0fWsJZWB,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB,0.371,0.558,0.559,7.49e-06,0.109,-9.222,0.0959,78.558,0.62,1
52,Megan Moroney,Tennessee Orange,3fl4zil6HJ0N1FL3YIRwdC,spotify:track:3fl4zil6HJ0N1FL3YIRwdC,https://open.spotify.com/track/3fl4zil6HJ0N1FL3YIRwdC,0.126,0.38,0.488,7.23e-06,0.115,-6.637,0.029,156.031,0.268,1
53,Jordan Davis,Next Thing You Know,2lNTHWu2I5Tcz9ukWsV5Jj,spotify:track:2lNTHWu2I5Tcz9ukWsV5Jj,https://open.spotify.com/track/2lNTHWu2I5Tcz9ukWsV5Jj,0.646,0.557,0.597,0.0,0.0974,-8.296,0.048,78.526,0.414,1
54,Kim Petras Featuring Nicki Minaj,Alone,7kOletJ0Q5H4MWe7cfeZXP,spotify:track:7kOletJ0Q5H4MWe7cfeZXP,https://open.spotify.com/track/7kOletJ0Q5H4MWe7cfeZXP,0.0668,0.676,0.536,0.0,0.12,-6.507,0.0404,137.018,0.163,1
55,Becky G & Peso Pluma,Chanel,7KJxDY3yNmJU4YBirMv7DD,spotify:track:7KJxDY3yNmJU4YBirMv7DD,https://open.spotify.com/track/7KJxDY3yNmJU4YBirMv7DD,0.397,0.852,0.675,0.00317,0.0905,-5.738,0.0363,132.005,0.528,1
56,Junior H x Peso Pluma,El Azul,1haJsMtoBhHfvuM7XWuT3W,spotify:track:1haJsMtoBhHfvuM7XWuT3W,https://open.spotify.com/track/1haJsMtoBhHfvuM7XWuT3W,0.226,0.558,0.648,7.76e-06,0.0986,-7.081,0.055,143.876,0.844,1
57,Agust D,Haegeum,4bjN59DRXFRxBE1g5ne6B1,spotify:track:4bjN59DRXFRxBE1g5ne6B1,https://open.spotify.com/track/4bjN59DRXFRxBE1g5ne6B1,0.313,0.697,0.837,0.0,0.471,-2.651,0.304,85.097,0.831,1
58,Lil Baby,Low Down,5m0yZ33oOy0yYBtdTXuxQe,spotify:track:5m0yZ33oOy0yYBtdTXuxQe,https://open.spotify.com/track/5m0yZ33oOy0yYBtdTXuxQe,0.0354,0.962,0.619,0.0,0.083,-5.562,0.405,127.958,0.154,1
59,Jelly Roll,Need A Favor,5jUOG0aeAofL5u3UWyrtDO,spotify:track:5jUOG0aeAofL5u3UWyrtDO,https://open.spotify.com/track/5jUOG0aeAofL5u3UWyrtDO,0.0123,0.504,0.771,1.89e-05,0.078,-4.231,0.0319,157.985,0.555,1
60,Lady Gaga,Bloody Mary,11BKm0j4eYoCPPpCONAVwA,spotify:track:11BKm0j4eYoCPPpCONAVwA,https://open.spotify.com/track/11BKm0j4eYoCPPpCONAVwA,0.0107,0.591,0.637,1.95e-06,0.113,-6.365,0.03,99.998,0.432,1
61,Jack Black,Peaches,4w9soAM7IrmYDhSXLp14p6,spotify:track:4w9soAM7IrmYDhSXLp14p6,https://open.spotify.com/track/4w9soAM7IrmYDhSXLp14p6,0.797,0.698,0.312,0.0,0.1,-10.9,0.0483,92.138,0.419,1
62,Sabrina Carpenter,Nonsense,6dgUya35uo964z7GZXM07g,spotify:track:6dgUya35uo964z7GZXM07g,https://open.spotify.com/track/6dgUya35uo964z7GZXM07g,0.0268,0.74,0.697,0.0,0.224,-4.912,0.034,138.992,0.732,1
63,Morgan Wallen,Ain't That Some,2YVlDlk2zRceefo6XlC6DX,spotify:track:2YVlDlk2zRceefo6XlC6DX,https://open.spotify.com/track/2YVlDlk2zRceefo6XlC6DX,0.00232,0.641,0.803,3.86e-06,0.361,-5.781,0.0286,121.086,0.671,1
64,Rod Wave,Fight The Feeling,7l6nGz4gp6HGs5Cvmdeqe4,spotify:track:7l6nGz4gp6HGs5Cvmdeqe4,https://open.spotify.com/track/7l6nGz4gp6HGs5Cvmdeqe4,0.0514,0.634,0.538,0.0,0.099,-9.213,0.0603,168.029,0.152,1
65,Nicki Minaj,Red Ruby Da Sleeze,4ZYAU4A2YBtlNdqOUtc7T2,spotify:track:4ZYAU4A2YBtlNdqOUtc7T2,https://open.spotify.com/track/4ZYAU4A2YBtlNdqOUtc7T2,0.115,0.696,0.733,0.0,0.111,-6.181,0.256,98.355,0.292,1
66,Rosalia & Rauw Alejandro,Beso,609E1JCInJncactoMmkDon,spotify:track:609E1JCInJncactoMmkDon,https://open.spotify.com/track/609E1JCInJncactoMmkDon,0.736,0.768,0.644,0.000837,0.173,-6.671,0.136,95.05,0.53,1
67,Fuerza Regida X Natanael Cano,Ch y La Pizza,0UbesRsX2TtiCeamOIVEkp,spotify:track:0UbesRsX2TtiCeamOIVEkp,https://open.spotify.com/track/0UbesRsX2TtiCeamOIVEkp,0.329,0.628,0.668,0.0,0.139,-2.722,0.117,148.746,0.845,1
68,Morgan Wallen Featuring ERNEST,Cowgirls,7fveJ3pk1eSfxBdVkzdXZ0,spotify:track:7fveJ3pk1eSfxBdVkzdXZ0,https://open.spotify.com/track/7fveJ3pk1eSfxBdVkzdXZ0,0.199,0.624,0.766,8.62e-06,0.156,-3.805,0.0359,172.08,0.37,1
69,Morgan Wallen,I Wrote The Book,7phmBo7bB9I9YifAXqnlqV,spotify:track:7phmBo7bB9I9YifAXqnlqV,https://open.spotify.com/track/7phmBo7bB9I9YifAXqnlqV,0.0834,0.692,0.808,3.75e-05,0.0913,-3.757,0.0396,143.977,0.802,1
70,Chino Pacas,El Gordo Trae El Mando,3kf0WdFOalKWBkCCLJo4mA,spotify:track:3kf0WdFOalKWBkCCLJo4mA,https://open.spotify.com/track/3kf0WdFOalKWBkCCLJo4mA,0.179,0.736,0.8,0.0,0.0498,-5.38,0.0525,140.253,0.961,1
71,Dierks Bentley,Gold,4iy69rTUn8cAY8Q8q9vfOw,spotify:track:4iy69rTUn8cAY8Q8q9vfOw,https://open.spotify.com/track/4iy69rTUn8cAY8Q8q9vfOw,0.0482,0.674,0.873,0.0,0.18,-4.256,0.0285,115.01,0.946,1
72,Morgan Wallen Featuring Eric Church,Man Made A Bar,2VbOMKmfMtQHPeQObsVlOj,spotify:track:2VbOMKmfMtQHPeQObsVlOj,https://open.spotify.com/track/2VbOMKmfMtQHPeQObsVlOj,0.123,0.498,0.764,3.07e-05,0.119,-5.006,0.0309,147.984,0.489,1
73,Morgan Wallen,Everything I Love,03fs6oV5JAlbytRYf3371S,spotify:track:03fs6oV5JAlbytRYf3371S,https://open.spotify.com/track/03fs6oV5JAlbytRYf3371S,0.00514,0.568,0.841,0.000503,0.147,-3.802,0.0261,103.983,0.668,1
74,Taylor Swift,Karma,7KokYm8cMIXCsGVmUvKtqf,spotify:track:7KokYm8cMIXCsGVmUvKtqf,https://open.spotify.com/track/7KokYm8cMIXCsGVmUvKtqf,0.0734,0.642,0.62,0.0,0.483,-7.091,0.0666,90.02,0.0969,1
75,Coco Jones,ICU,58cMDjQSUdWJUgFmHxRhjt,spotify:track:58cMDjQSUdWJUgFmHxRhjt,https://open.spotify.com/track/58cMDjQSUdWJUgFmHxRhjt,0.753,0.584,0.453,0.0,0.111,-6.682,0.0661,124.913,0.328,1
76,Carin Leon X Grupo Frontera,Que Vuelvas,6Um358vY92UBv5DloTRX9L,spotify:track:6Um358vY92UBv5DloTRX9L,https://open.spotify.com/track/6Um358vY92UBv5DloTRX9L,0.187,0.491,0.643,0.0,0.109,-4.309,0.0442,162.469,0.779,1
77,"Metro Boomin, Travis Scott & Young Thug",Trance,5wG3HvLhF6Y5KTGlK0IW3J,spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,https://open.spotify.com/track/5wG3HvLhF6Y5KTGlK0IW3J,0.18,0.571,0.549,0.0,0.168,-7.38,0.404,119.497,0.447,1
78,Yandel & Feid,Yandel 150,2oiixB9QMIzhWaHGVlQx4g,spotify:track:2oiixB9QMIzhWaHGVlQx4g,https://open.spotify.com/track/2oiixB9QMIzhWaHGVlQx4g,0.0492,0.783,0.729,0.000272,0.1,-3.549,0.0691,167.968,0.58,1
79,Fuerza Regida & Peso Pluma,Igualito A Mi Apa,17js0w8GTkTUFGFM6PYvBd,spotify:track:17js0w8GTkTUFGFM6PYvBd,https://open.spotify.com/track/17js0w8GTkTUFGFM6PYvBd,0.188,0.758,0.812,0.0,0.0564,-3.272,0.0854,144.908,0.795,1
80,Ice Spice,In Ha Mood,0yUaLqhsVsguBpoOPL4cO7,spotify:track:0yUaLqhsVsguBpoOPL4cO7,https://open.spotify.com/track/0yUaLqhsVsguBpoOPL4cO7,0.696,0.768,0.74,6.81e-06,0.23,-6.595,0.336,141.059,0.532,1
81,Yahritza y Su Esencia x Grupo Frontera,Fragil,0IWbhl9q9HISium2adh6h2,spotify:track:0IWbhl9q9HISium2adh6h2,https://open.spotify.com/track/0IWbhl9q9HISium2adh6h2,0.451,0.708,0.449,0.0,0.111,-4.369,0.0286,84.396,0.63,1
82,Cody Johnson,Human,5AihIu9yF3flkw1jFMyfwW,spotify:track:5AihIu9yF3flkw1jFMyfwW,https://open.spotify.com/track/5AihIu9yF3flkw1jFMyfwW,0.176,0.4,0.647,5.79e-05,0.11,-7.279,0.0337,84.08,0.274,1
83,Superstar Pride,Painting Pictures,7oLKoGzQVwjZ91AzCn560T,spotify:track:7oLKoGzQVwjZ91AzCn560T,https://open.spotify.com/track/7oLKoGzQVwjZ91AzCn560T,0.305,0.956,0.515,0.0,0.156,-9.962,0.337,119.937,0.69,1
84,Labrinth,Never Felt So Alone,2NbsBSshscKIPRG3kwBbfo,spotify:track:2NbsBSshscKIPRG3kwBbfo,https://open.spotify.com/track/2NbsBSshscKIPRG3kwBbfo,0.499,0.436,0.409,0.000166,0.38,-4.438,0.0533,98.357,0.363,1
85,Zach Bryan Featuring Maggie Rogers,Dawns,42TtHTxWk782ZBiqyOi2d1,spotify:track:42TtHTxWk782ZBiqyOi2d1,https://open.spotify.com/track/42TtHTxWk782ZBiqyOi2d1,0.874,0.447,0.441,4.36e-05,0.188,-7.658,0.0456,122.811,0.286,1
86,Lizzy McAlpine,Ceilings,2L9N0zZnd37dwF0clgxMGI,spotify:track:2L9N0zZnd37dwF0clgxMGI,https://open.spotify.com/track/2L9N0zZnd37dwF0clgxMGI,0.473,0.516,0.322,0.00194,0.215,-11.762,0.0292,148.005,0.261,1
87,Old Dominion,Memory Lane,5kB6WithhB8Iv08EMNmAbt,spotify:track:5kB6WithhB8Iv08EMNmAbt,https://open.spotify.com/track/5kB6WithhB8Iv08EMNmAbt,0.0189,0.645,0.8,1.12e-05,0.0858,-4.272,0.0363,118.977,0.375,1
88,Grupo Marca Registrada X Grupo Frontera,Di Que Si,0kzN7YAMSbmlHOvxlbQW9y,spotify:track:0kzN7YAMSbmlHOvxlbQW9y,https://open.spotify.com/track/0kzN7YAMSbmlHOvxlbQW9y,0.0753,0.57,0.589,0.0,0.0582,-5.378,0.0488,182.318,0.796,1
89,Lil Yachty,Strike (Holster),7iTTWHbr4tAlsRJN4m4bay,spotify:track:7iTTWHbr4tAlsRJN4m4bay,https://open.spotify.com/track/7iTTWHbr4tAlsRJN4m4bay,0.0658,0.851,0.642,0.0,0.0713,-5.281,0.216,143.091,0.701,1
90,NF,Happy,3ZEno9fORwMA1HPecdLi0R,spotify:track:3ZEno9fORwMA1HPecdLi0R,https://open.spotify.com/track/3ZEno9fORwMA1HPecdLi0R,0.306,0.732,0.855,0.0,0.12,-4.064,0.0415,106.004,0.221,1
91,Lil Baby Featuring Fridayy,Forever,1T4k0sw0HldDg004Kw4Oct,spotify:track:1T4k0sw0HldDg004Kw4Oct,https://open.spotify.com/track/1T4k0sw0HldDg004Kw4Oct,0.414,0.462,0.251,0.0,0.201,-12.072,0.159,89.705,0.137,1
92,Kali Uchis,Moonlight,0JmnkIqdlnUzPaf8sqBRs3,spotify:track:0JmnkIqdlnUzPaf8sqBRs3,https://open.spotify.com/track/0JmnkIqdlnUzPaf8sqBRs3,0.518,0.642,0.706,0.0,0.25,-6.872,0.052,136.851,0.896,1
93,Morgan Wallen,Sunrise,0JtgoDDf0ggWaoXCGhcOoT,spotify:track:0JtgoDDf0ggWaoXCGhcOoT,https://open.spotify.com/track/0JtgoDDf0ggWaoXCGhcOoT,0.259,0.613,0.765,4.28e-06,0.0832,-5.058,0.0318,139.993,0.343,1
94,Brett Young,You Didn't,4JfVTScT5fC0x330UVevO5,spotify:track:4JfVTScT5fC0x330UVevO5,https://open.spotify.com/track/4JfVTScT5fC0x330UVevO5,0.858,0.65,0.303,0.0,0.158,-8.459,0.0311,79.452,0.472,1
